"","lab","max.dist","min.dist","mean.dist","size","mean.cl.sil","mean.sil","method","strategy"
"284",25,18.2814252707005,12.2944236220397,15.2867308081591,20,-0.0196843960638898,-0.0203097211557127,"maxd","Kmeans partition"
"285",12,19.1323827138178,12.6223805168836,15.3855265087505,20,-0.0292593668796522,-0.0203097211557127,"maxd","Kmeans partition"
"286",48,17.1957704801395,12.4757447682666,14.7629602121029,20,-0.00882497657229833,-0.0203097211557127,"maxd","Kmeans partition"
"287",45,18.7427974011841,11.1607218541993,15.3784869334993,20,-0.00916445245477739,-0.0203097211557127,"maxd","Kmeans partition"
"288",47,17.8541242637259,11.7040377501032,15.3319588893526,20,-0.0228461601478756,-0.0203097211557127,"maxd","Kmeans partition"
"289",31,19.0240971456526,11.0906288341934,15.4723158243267,20,-0.0141370084898078,-0.0203097211557127,"maxd","Kmeans partition"
"290",20,17.9745191084455,9.79944513363733,15.1629589869007,20,-0.0148740139333522,-0.0203097211557127,"maxd","Kmeans partition"
"291",11,17.5624558455954,11.3967334743846,15.1743987262126,20,-0.0119265587376959,-0.0203097211557127,"maxd","Kmeans partition"
"292",40,17.7751680701624,9.71124983404154,15.5110343059035,20,-0.024744607071704,-0.0203097211557127,"maxd","Kmeans partition"
"293",36,18.0535781356455,10.8795705177782,15.1258760435158,20,-0.0264284326143986,-0.0203097211557127,"maxd","Kmeans partition"
"294",43,18.3347919845297,11.2676543685637,15.3813789498493,20,-0.0198503510143562,-0.0203097211557127,"maxd","Kmeans partition"
"295",6,18.0648150435948,11.8770970921247,15.1024687794206,20,-0.0172581382825258,-0.0203097211557127,"maxd","Kmeans partition"
"296",3,17.7754845083556,11.8912419336153,15.4334214934454,20,-0.0048129984821983,-0.0203097211557127,"maxd","Kmeans partition"
"297",44,18.8533176963143,12.3977634260598,15.921149149867,20,-0.0329202282753158,-0.0203097211557127,"maxd","Kmeans partition"
"298",30,18.8598542396155,10.8973501817396,15.7419704885603,20,-0.023178430614548,-0.0203097211557127,"maxd","Kmeans partition"
"299",27,17.056645940883,10.3425717562069,14.6253932218947,19,-0.00825477625061124,-0.0203097211557127,"maxd","Kmeans partition"
"300",4,19.540894946119,12.2148267413865,15.4002465877735,20,-0.0208709612026866,-0.0203097211557127,"maxd","Kmeans partition"
"301",15,18.1366384109172,11.2444730445332,14.9743799262286,20,-0.00307050677900364,-0.0252162770483711,"mind","Kmeans partition"
"302",46,19.0624581088618,13.6507829666426,16.0471115722418,20,-0.0489141154162415,-0.0252162770483711,"mind","Kmeans partition"
"303",31,18.016963322842,9.77525791355125,14.6088702085278,20,-0.00247431000581233,-0.0252162770483711,"mind","Kmeans partition"
"304",5,17.6001467687239,10.085722061391,15.074039087122,20,-0.00945171566027118,-0.0252162770483711,"mind","Kmeans partition"
"305",14,17.7000852984352,9.44398194279041,14.2059449716929,20,0.0322523186423579,-0.0252162770483711,"mind","Kmeans partition"
"306",45,17.5394037958531,10.2522315788196,14.8537771778497,20,-0.0101993936571448,-0.0252162770483711,"mind","Kmeans partition"
"307",8,19.0581868577083,12.3213923517935,16.5908638805023,20,-0.0611085385604912,-0.0252162770483711,"mind","Kmeans partition"
"308",13,19.2692710799279,9.22702325672519,15.6846001042146,20,-0.0339906712752095,-0.0252162770483711,"mind","Kmeans partition"
"309",2,18.0602779379464,11.5410407812836,15.0173129134781,20,-0.0180864649021943,-0.0252162770483711,"mind","Kmeans partition"
"310",47,20.2317431742982,11.8403409926618,17.0458656442522,20,-0.0807096520957325,-0.0252162770483711,"mind","Kmeans partition"
"311",24,19.5679980778384,12.3436051707813,15.8476477195039,20,-0.0493827041736257,-0.0252162770483711,"mind","Kmeans partition"
"312",18,18.3443700569567,12.4695024988766,15.8274742372444,20,-0.0460255179777136,-0.0252162770483711,"mind","Kmeans partition"
"313",6,18.344026739987,11.5292273767659,14.9244088992196,20,-0.0250842344740072,-0.0252162770483711,"mind","Kmeans partition"
"314",28,17.4698961376665,12.2215253484292,14.9019818906978,20,-0.010473732164466,-0.0252162770483711,"mind","Kmeans partition"
"315",16,18.0788361317899,11.4845787899564,15.1188107479429,20,-0.009060322702697,-0.0252162770483711,"mind","Kmeans partition"
"316",25,17.4902682447189,11.4657271197054,15.0838632471527,20,-0.0146277551744332,-0.0252162770483711,"mind","Kmeans partition"
"317",34,17.4005527988392,7.13473240979121,14.3448903062768,20,0.0196316262510458,-0.0252162770483711,"mind","Kmeans partition"
"318",7,18.5964593045693,10.5917781322587,15.3247260515918,20,-0.0280654417521548,-0.0252162770483711,"mind","Kmeans partition"
"319",20,18.6000137478421,11.3967334743846,15.6605664577263,20,-0.0371915824713883,-0.0252162770483711,"mind","Kmeans partition"
"320",49,19.3904801563057,12.0779795291531,16.1323304344607,20,-0.0477291511742792,-0.0252162770483711,"mind","Kmeans partition"
"321",48,19.2535520871426,11.9484521809329,16.1492307685417,20,-0.0445307686820539,-0.0252162770483711,"mind","Kmeans partition"
"322",41,19.8326676374968,11.6206596333822,16.3451907275039,20,-0.0573610676591569,-0.0252162770483711,"mind","Kmeans partition"
"323",3,18.9927960646696,12.1926956413322,15.0855491125296,20,-0.00647758646373588,-0.0252162770483711,"mind","Kmeans partition"
"324",10,18.4235327415583,12.0305866078918,15.316438813299,20,-0.0368350553481849,-0.0252162770483711,"mind","Kmeans partition"
"325",44,18.097195546787,11.1980323290585,15.4284824208589,20,-0.0186764867992903,-0.0252162770483711,"mind","Kmeans partition"
"326",40,17.7835382257578,10.913253695185,15.1067455561081,20,-0.0203127015976829,-0.0252162770483711,"mind","Kmeans partition"
"327",19,18.4224374478625,12.0387147437149,15.3881031052908,20,-0.0207516749817329,-0.0252162770483711,"mind","Kmeans partition"
"328",43,19.0150680966199,12.2679435810565,15.376450845616,20,-0.0426849437459099,-0.0252162770483711,"mind","Kmeans partition"
"329",12,17.9607334147658,10.2832319863036,15.013973470036,20,-0.019651370734162,-0.0252162770483711,"mind","Kmeans partition"
"330",33,17.0322811723935,9.66865478350133,14.0474412942111,20,0.0249587398477461,-0.0252162770483711,"mind","Kmeans partition"
"331",50,18.5391125591134,11.879326304856,15.5742603900504,20,-0.0375573719701257,-0.0252162770483711,"mind","Kmeans partition"
